"region";"sex";"age";"Persons 2020"
"K-3002 Moss";"Females";"62 years";319
"K-3002 Moss";"Females";"63 years";305
"K-3002 Moss";"Females";"64 years";296
"K-3002 Moss";"Females";"65 years";306
"K-3002 Moss";"Females";"66 years";306
"K-3002 Moss";"Females";"67 years";285
"K-3002 Moss";"Females";"68 years";267
"K-3002 Moss";"Females";"69 years";313
"K-3002 Moss";"Females";"70 years";292
"K-3002 Moss";"Females";"71 years";328
"K-3002 Moss";"Females";"72 years";303
"K-3002 Moss";"Females";"73 years";314
"K-3002 Moss";"Females";"74 years";283
"K-3002 Moss";"Females";"75 years";256
"K-3002 Moss";"Females";"76 years";221
"K-3002 Moss";"Females";"77 years";217
"K-3002 Moss";"Females";"78 years";179
"K-3002 Moss";"Females";"79 years";181
"K-3002 Moss";"Females";"80 years";157
"K-3002 Moss";"Females";"81 years";157
"K-3002 Moss";"Females";"82 years";147
"K-3002 Moss";"Females";"83 years";118
"K-3002 Moss";"Females";"84 years";115
"K-3002 Moss";"Females";"85 years";100
"K-3002 Moss";"Females";"86 years";90
"K-3002 Moss";"Females";"87 years";80
"K-3002 Moss";"Females";"88 years";84
"K-3002 Moss";"Females";"89 years";85
"K-3002 Moss";"Females";"90 years";43
"K-3002 Moss";"Females";"91 years";42
"K-3002 Moss";"Females";"92 years";37
"K-3002 Moss";"Females";"93 years";36
"K-3002 Moss";"Females";"94 years";32
"K-3002 Moss";"Females";"95 years";31
"K-3002 Moss";"Females";"96 years";13
"K-3002 Moss";"Females";"97 years";13
"K-3002 Moss";"Females";"98 years";7
"K-3002 Moss";"Females";"99 years";5
"K-3002 Moss";"Females";"100 years";4
"K-3002 Moss";"Females";"101 years";3
"K-3002 Moss";"Females";"102 years";0
"K-3002 Moss";"Females";"103 years";0
"K-3002 Moss";"Females";"104 years";0
"K-3002 Moss";"Females";"105 years or older";0
"K-3003 Sarpsborg";"Males";"0 years";284
"K-3003 Sarpsborg";"Males";"1 year";275
"K-3003 Sarpsborg";"Males";"2 years";332
"K-3003 Sarpsborg";"Males";"3 years";326
"K-3003 Sarpsborg";"Males";"4 years";322
"K-3003 Sarpsborg";"Males";"5 years";316
"K-3003 Sarpsborg";"Males";"6 years";336
"K-3003 Sarpsborg";"Males";"7 years";352
"K-3003 Sarpsborg";"Males";"8 years";353
"K-3003 Sarpsborg";"Males";"9 years";320
"K-3003 Sarpsborg";"Males";"10 years";433
"K-3003 Sarpsborg";"Males";"11 years";361
"K-3003 Sarpsborg";"Males";"12 years";362
"K-3003 Sarpsborg";"Males";"13 years";360
"K-3003 Sarpsborg";"Males";"14 years";353
"K-3003 Sarpsborg";"Males";"15 years";310
"K-3003 Sarpsborg";"Males";"16 years";328
"K-3003 Sarpsborg";"Males";"17 years";391
"K-3003 Sarpsborg";"Males";"18 years";412
"K-3003 Sarpsborg";"Males";"19 years";372
"K-3003 Sarpsborg";"Males";"20 years";348
"K-3003 Sarpsborg";"Males";"21 years";309
"K-3003 Sarpsborg";"Males";"22 years";337
"K-3003 Sarpsborg";"Males";"23 years";334
"K-3003 Sarpsborg";"Males";"24 years";348
"K-3003 Sarpsborg";"Males";"25 years";329
"K-3003 Sarpsborg";"Males";"26 years";376
"K-3003 Sarpsborg";"Males";"27 years";357
"K-3003 Sarpsborg";"Males";"28 years";385
"K-3003 Sarpsborg";"Males";"29 years";361
"K-3003 Sarpsborg";"Males";"30 years";343
"K-3003 Sarpsborg";"Males";"31 years";394
"K-3003 Sarpsborg";"Males";"32 years";356
"K-3003 Sarpsborg";"Males";"33 years";345
"K-3003 Sarpsborg";"Males";"34 years";339
"K-3003 Sarpsborg";"Males";"35 years";333
"K-3003 Sarpsborg";"Males";"36 years";371
"K-3003 Sarpsborg";"Males";"37 years";377
"K-3003 Sarpsborg";"Males";"38 years";340
"K-3003 Sarpsborg";"Males";"39 years";381
"K-3003 Sarpsborg";"Males";"40 years";335
"K-3003 Sarpsborg";"Males";"41 years";347
"K-3003 Sarpsborg";"Males";"42 years";376
"K-3003 Sarpsborg";"Males";"43 years";397
"K-3003 Sarpsborg";"Males";"44 years";383
"K-3003 Sarpsborg";"Males";"45 years";397
"K-3003 Sarpsborg";"Males";"46 years";403
"K-3003 Sarpsborg";"Males";"47 years";450
"K-3003 Sarpsborg";"Males";"48 years";428
"K-3003 Sarpsborg";"Males";"49 years";398
"K-3003 Sarpsborg";"Males";"50 years";449
"K-3003 Sarpsborg";"Males";"51 years";431
"K-3003 Sarpsborg";"Males";"52 years";412
"K-3003 Sarpsborg";"Males";"53 years";428
"K-3003 Sarpsborg";"Males";"54 years";419
"K-3003 Sarpsborg";"Males";"55 years";408
"K-3003 Sarpsborg";"Males";"56 years";344
"K-3003 Sarpsborg";"Males";"57 years";376
"K-3003 Sarpsborg";"Males";"58 years";363
"K-3003 Sarpsborg";"Males";"59 years";352
"K-3003 Sarpsborg";"Males";"60 years";357
"K-3003 Sarpsborg";"Males";"61 years";341
"K-3003 Sarpsborg";"Males";"62 years";336
"K-3003 Sarpsborg";"Males";"63 years";346
"K-3003 Sarpsborg";"Males";"64 years";295
"K-3003 Sarpsborg";"Males";"65 years";319
"K-3003 Sarpsborg";"Males";"66 years";300
"K-3003 Sarpsborg";"Males";"67 years";317
"K-3003 Sarpsborg";"Males";"68 years";285
"K-3003 Sarpsborg";"Males";"69 years";247
"K-3003 Sarpsborg";"Males";"70 years";280
"K-3003 Sarpsborg";"Males";"71 years";289
"K-3003 Sarpsborg";"Males";"72 years";325
"K-3003 Sarpsborg";"Males";"73 years";318
"K-3003 Sarpsborg";"Males";"74 years";287
"K-3003 Sarpsborg";"Males";"75 years";253
"K-3003 Sarpsborg";"Males";"76 years";210
"K-3003 Sarpsborg";"Males";"77 years";158
"K-3003 Sarpsborg";"Males";"78 years";138
"K-3003 Sarpsborg";"Males";"79 years";155
"K-3003 Sarpsborg";"Males";"80 years";141
"K-3003 Sarpsborg";"Males";"81 years";139
"K-3003 Sarpsborg";"Males";"82 years";116
"K-3003 Sarpsborg";"Males";"83 years";90
"K-3003 Sarpsborg";"Males";"84 years";83
"K-3003 Sarpsborg";"Males";"85 years";76
"K-3003 Sarpsborg";"Males";"86 years";67
"K-3003 Sarpsborg";"Males";"87 years";60
"K-3003 Sarpsborg";"Males";"88 years";38
"K-3003 Sarpsborg";"Males";"89 years";52
"K-3003 Sarpsborg";"Males";"90 years";38
"K-3003 Sarpsborg";"Males";"91 years";25
"K-3003 Sarpsborg";"Males";"92 years";19
"K-3003 Sarpsborg";"Males";"93 years";20
"K-3003 Sarpsborg";"Males";"94 years";12
"K-3003 Sarpsborg";"Males";"95 years";18
"K-3003 Sarpsborg";"Males";"96 years";7
"K-3003 Sarpsborg";"Males";"97 years";2
"K-3003 Sarpsborg";"Males";"98 years";0
"K-3003 Sarpsborg";"Males";"99 years";2
"K-3003 Sarpsborg";"Males";"100 years";1
"K-3003 Sarpsborg";"Males";"101 years";0
"K-3003 Sarpsborg";"Males";"102 years";0
"K-3003 Sarpsborg";"Males";"103 years";0
"K-3003 Sarpsborg";"Males";"104 years";0
"K-3003 Sarpsborg";"Males";"105 years or older";0
"K-3003 Sarpsborg";"Females";"0 years";266
"K-3003 Sarpsborg";"Females";"1 year";263
"K-3003 Sarpsborg";"Females";"2 years";269
"K-3003 Sarpsborg";"Females";"3 years";292
"K-3003 Sarpsborg";"Females";"4 years";313
"K-3003 Sarpsborg";"Females";"5 years";305
"K-3003 Sarpsborg";"Females";"6 years";311
"K-3003 Sarpsborg";"Females";"7 years";332
"K-3003 Sarpsborg";"Females";"8 years";312
"K-3003 Sarpsborg";"Females";"9 years";336
"K-3003 Sarpsborg";"Females";"10 years";365
"K-3003 Sarpsborg";"Females";"11 years";333
"K-3003 Sarpsborg";"Females";"12 years";344
"K-3003 Sarpsborg";"Females";"13 years";333
"K-3003 Sarpsborg";"Females";"14 years";324
"K-3003 Sarpsborg";"Females";"15 years";330
"K-3003 Sarpsborg";"Females";"16 years";371
"K-3003 Sarpsborg";"Females";"17 years";335
"K-3003 Sarpsborg";"Females";"18 years";345
"K-3003 Sarpsborg";"Females";"19 years";324
"K-3003 Sarpsborg";"Females";"20 years";328
"K-3003 Sarpsborg";"Females";"21 years";302
"K-3003 Sarpsborg";"Females";"22 years";302
"K-3003 Sarpsborg";"Females";"23 years";330
"K-3003 Sarpsborg";"Females";"24 years";342
"K-3003 Sarpsborg";"Females";"25 years";304
"K-3003 Sarpsborg";"Females";"26 years";336
"K-3003 Sarpsborg";"Females";"27 years";360
"K-3003 Sarpsborg";"Females";"28 years";344
"K-3003 Sarpsborg";"Females";"29 years";397
"K-3003 Sarpsborg";"Females";"30 years";337
"K-3003 Sarpsborg";"Females";"31 years";369
"K-3003 Sarpsborg";"Females";"32 years";322
"K-3003 Sarpsborg";"Females";"33 years";333
"K-3003 Sarpsborg";"Females";"34 years";374
"K-3003 Sarpsborg";"Females";"35 years";337
"K-3003 Sarpsborg";"Females";"36 years";361
"K-3003 Sarpsborg";"Females";"37 years";340
"K-3003 Sarpsborg";"Females";"38 years";354
"K-3003 Sarpsborg";"Females";"39 years";373
"K-3003 Sarpsborg";"Females";"40 years";341
"K-3003 Sarpsborg";"Females";"41 years";374
"K-3003 Sarpsborg";"Females";"42 years";326
"K-3003 Sarpsborg";"Females";"43 years";377
"K-3003 Sarpsborg";"Females";"44 years";388
"K-3003 Sarpsborg";"Females";"45 years";390
"K-3003 Sarpsborg";"Females";"46 years";401
"K-3003 Sarpsborg";"Females";"47 years";432
"K-3003 Sarpsborg";"Females";"48 years";397
"K-3003 Sarpsborg";"Females";"49 years";427
"K-3003 Sarpsborg";"Females";"50 years";402
"K-3003 Sarpsborg";"Females";"51 years";389
"K-3003 Sarpsborg";"Females";"52 years";380
"K-3003 Sarpsborg";"Females";"53 years";360
"K-3003 Sarpsborg";"Females";"54 years";363
"K-3003 Sarpsborg";"Females";"55 years";371
"K-3003 Sarpsborg";"Females";"56 years";376
