"region";"age";"industry (SIC2007)";"working hours";"Employees by place of residence 2019";"Employees by place of work 2019"
"K-3012 Aremark";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3012 Aremark";"20-66 years";"05-09 Mining and quarrying";"Full-time";5;0
"K-3012 Aremark";"20-66 years";"41-43 Construction";"Part-time";7;4
"K-3012 Aremark";"20-66 years";"41-43 Construction";"Full-time";44;0
"K-3013 Marker";"15-74 years";"00-99 All industries";"Part-time";531;377
"K-3013 Marker";"15-74 years";"00-99 All industries";"Full-time";948;606
"K-3013 Marker";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;3
"K-3013 Marker";"15-74 years";"05-09 Mining and quarrying";"Full-time";4;0
"K-3013 Marker";"15-74 years";"41-43 Construction";"Part-time";28;24
"K-3013 Marker";"15-74 years";"41-43 Construction";"Full-time";144;91
"K-3013 Marker";"20-66 years";"00-99 All industries";"Part-time";423;296
"K-3013 Marker";"20-66 years";"00-99 All industries";"Full-time";901;588
"K-3013 Marker";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3013 Marker";"20-66 years";"05-09 Mining and quarrying";"Full-time";4;3
"K-3013 Marker";"20-66 years";"41-43 Construction";"Part-time";20;16
"K-3013 Marker";"20-66 years";"41-43 Construction";"Full-time";134;89
"K-3014 Indre ?stfold";"15-74 years";"00-99 All industries";"Part-time";6043;4881
"K-3014 Indre ?stfold";"15-74 years";"00-99 All industries";"Full-time";13918;9132
"K-3014 Indre ?stfold";"15-74 years";"05-09 Mining and quarrying";"Part-time";9;0
"K-3014 Indre ?stfold";"15-74 years";"05-09 Mining and quarrying";"Full-time";66;24
"K-3014 Indre ?stfold";"15-74 years";"41-43 Construction";"Part-time";236;184
"K-3014 Indre ?stfold";"15-74 years";"41-43 Construction";"Full-time";2171;1440
"K-3014 Indre ?stfold";"20-66 years";"00-99 All industries";"Part-time";5118;4101
"K-3014 Indre ?stfold";"20-66 years";"00-99 All industries";"Full-time";13451;8753
"K-3014 Indre ?stfold";"20-66 years";"05-09 Mining and quarrying";"Part-time";3;3
"K-3014 Indre ?stfold";"20-66 years";"05-09 Mining and quarrying";"Full-time";64;23
"K-3014 Indre ?stfold";"20-66 years";"41-43 Construction";"Part-time";188;145
"K-3014 Indre ?stfold";"20-66 years";"41-43 Construction";"Full-time";2076;1345
"K-3015 Skiptvet";"15-74 years";"00-99 All industries";"Part-time";547;341
"K-3015 Skiptvet";"15-74 years";"00-99 All industries";"Full-time";1190;484
"K-3015 Skiptvet";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3015 Skiptvet";"15-74 years";"05-09 Mining and quarrying";"Full-time";10;0
"K-3015 Skiptvet";"15-74 years";"41-43 Construction";"Part-time";34;30
"K-3015 Skiptvet";"15-74 years";"41-43 Construction";"Full-time";288;128
"K-3015 Skiptvet";"20-66 years";"00-99 All industries";"Part-time";460;287
"K-3015 Skiptvet";"20-66 years";"00-99 All industries";"Full-time";1142;468
"K-3015 Skiptvet";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3015 Skiptvet";"20-66 years";"05-09 Mining and quarrying";"Full-time";10;0
"K-3015 Skiptvet";"20-66 years";"41-43 Construction";"Part-time";25;22
"K-3015 Skiptvet";"20-66 years";"41-43 Construction";"Full-time";270;122
"K-3016 Rakkestad";"15-74 years";"00-99 All industries";"Part-time";1247;1100
"K-3016 Rakkestad";"15-74 years";"00-99 All industries";"Full-time";2344;1776
"K-3016 Rakkestad";"15-74 years";"05-09 Mining and quarrying";"Part-time";3;3
"K-3016 Rakkestad";"15-74 years";"05-09 Mining and quarrying";"Full-time";5;4
"K-3016 Rakkestad";"15-74 years";"41-43 Construction";"Part-time";51;40
"K-3016 Rakkestad";"15-74 years";"41-43 Construction";"Full-time";376;252
"K-3016 Rakkestad";"20-66 years";"00-99 All industries";"Part-time";1037;899
"K-3016 Rakkestad";"20-66 years";"00-99 All industries";"Full-time";2243;1687
"K-3016 Rakkestad";"20-66 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-3016 Rakkestad";"20-66 years";"05-09 Mining and quarrying";"Full-time";5;4
"K-3016 Rakkestad";"20-66 years";"41-43 Construction";"Part-time";35;26
"K-3016 Rakkestad";"20-66 years";"41-43 Construction";"Full-time";354;236
"K-3017 R?de";"15-74 years";"00-99 All industries";"Part-time";985;884
"K-3017 R?de";"15-74 years";"00-99 All industries";"Full-time";2387;2130
"K-3017 R?de";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3017 R?de";"15-74 years";"05-09 Mining and quarrying";"Full-time";18;5
"K-3017 R?de";"15-74 years";"41-43 Construction";"Part-time";46;87
"K-3017 R?de";"15-74 years";"41-43 Construction";"Full-time";373;574
"K-3017 R?de";"20-66 years";"00-99 All industries";"Part-time";822;779
"K-3017 R?de";"20-66 years";"00-99 All industries";"Full-time";2309;2022
"K-3017 R?de";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3017 R?de";"20-66 years";"05-09 Mining and quarrying";"Full-time";18;5
"K-3017 R?de";"20-66 years";"41-43 Construction";"Part-time";31;72
"K-3017 R?de";"20-66 years";"41-43 Construction";"Full-time";361;549
"K-3018 V?ler (?stfold)";"15-74 years";"00-99 All industries";"Part-time";690;418
"K-3018 V?ler (?stfold)";"15-74 years";"00-99 All industries";"Full-time";2040;862
"K-3018 V?ler (?stfold)";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3018 V?ler (?stfold)";"15-74 years";"05-09 Mining and quarrying";"Full-time";11;0
"K-3018 V?ler (?stfold)";"15-74 years";"41-43 Construction";"Part-time";27;21
