"region";"age";"industry (SIC2007)";"working hours";"Employees by place of residence 2019";"Employees by place of work 2019"
"K-4612 Sveio";"15-74 years";"00-99 All industries";"Part-time";856;561
"K-4612 Sveio";"15-74 years";"00-99 All industries";"Full-time";1769;793
"K-4612 Sveio";"15-74 years";"05-09 Mining and quarrying";"Part-time";4;0
"K-4612 Sveio";"15-74 years";"05-09 Mining and quarrying";"Full-time";158;0
"K-4612 Sveio";"15-74 years";"41-43 Construction";"Part-time";31;30
"K-4612 Sveio";"15-74 years";"41-43 Construction";"Full-time";262;180
"K-4612 Sveio";"20-66 years";"00-99 All industries";"Part-time";735;472
"K-4612 Sveio";"20-66 years";"00-99 All industries";"Full-time";1677;751
"K-4612 Sveio";"20-66 years";"05-09 Mining and quarrying";"Part-time";4;0
"K-4612 Sveio";"20-66 years";"05-09 Mining and quarrying";"Full-time";157;0
"K-4612 Sveio";"20-66 years";"41-43 Construction";"Part-time";26;23
"K-4612 Sveio";"20-66 years";"41-43 Construction";"Full-time";243;171
"K-4613 B?mlo";"15-74 years";"00-99 All industries";"Part-time";1846;1540
"K-4613 B?mlo";"15-74 years";"00-99 All industries";"Full-time";3776;3026
"K-4613 B?mlo";"15-74 years";"05-09 Mining and quarrying";"Part-time";12;0
"K-4613 B?mlo";"15-74 years";"05-09 Mining and quarrying";"Full-time";294;0
"K-4613 B?mlo";"15-74 years";"41-43 Construction";"Part-time";59;56
"K-4613 B?mlo";"15-74 years";"41-43 Construction";"Full-time";405;441
"K-4613 B?mlo";"20-66 years";"00-99 All industries";"Part-time";1567;1322
"K-4613 B?mlo";"20-66 years";"00-99 All industries";"Full-time";3577;2855
"K-4613 B?mlo";"20-66 years";"05-09 Mining and quarrying";"Part-time";11;0
"K-4613 B?mlo";"20-66 years";"05-09 Mining and quarrying";"Full-time";290;0
"K-4613 B?mlo";"20-66 years";"41-43 Construction";"Part-time";51;48
"K-4613 B?mlo";"20-66 years";"41-43 Construction";"Full-time";374;411
"K-4614 Stord";"15-74 years";"00-99 All industries";"Part-time";2757;2764
"K-4614 Stord";"15-74 years";"00-99 All industries";"Full-time";6445;6420
"K-4614 Stord";"15-74 years";"05-09 Mining and quarrying";"Part-time";5;0
"K-4614 Stord";"15-74 years";"05-09 Mining and quarrying";"Full-time";216;0
"K-4614 Stord";"15-74 years";"41-43 Construction";"Part-time";56;56
"K-4614 Stord";"15-74 years";"41-43 Construction";"Full-time";627;547
"K-4614 Stord";"20-66 years";"00-99 All industries";"Part-time";2311;2289
"K-4614 Stord";"20-66 years";"00-99 All industries";"Full-time";6225;6191
"K-4614 Stord";"20-66 years";"05-09 Mining and quarrying";"Part-time";5;0
"K-4614 Stord";"20-66 years";"05-09 Mining and quarrying";"Full-time";211;0
"K-4614 Stord";"20-66 years";"41-43 Construction";"Part-time";46;46
"K-4614 Stord";"20-66 years";"41-43 Construction";"Full-time";585;505
"K-4615 Fitjar";"15-74 years";"00-99 All industries";"Part-time";502;408
"K-4615 Fitjar";"15-74 years";"00-99 All industries";"Full-time";972;583
"K-4615 Fitjar";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-4615 Fitjar";"15-74 years";"05-09 Mining and quarrying";"Full-time";51;0
"K-4615 Fitjar";"15-74 years";"41-43 Construction";"Part-time";15;11
"K-4615 Fitjar";"15-74 years";"41-43 Construction";"Full-time";144;120
"K-4615 Fitjar";"20-66 years";"00-99 All industries";"Part-time";430;341
"K-4615 Fitjar";"20-66 years";"00-99 All industries";"Full-time";928;554
"K-4615 Fitjar";"20-66 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-4615 Fitjar";"20-66 years";"05-09 Mining and quarrying";"Full-time";50;0
"K-4615 Fitjar";"20-66 years";"41-43 Construction";"Part-time";14;10
"K-4615 Fitjar";"20-66 years";"41-43 Construction";"Full-time";134;112
"K-4616 Tysnes";"15-74 years";"00-99 All industries";"Part-time";440;395
"K-4616 Tysnes";"15-74 years";"00-99 All industries";"Full-time";816;656
"K-4616 Tysnes";"15-74 years";"05-09 Mining and quarrying";"Part-time";4;0
"K-4616 Tysnes";"15-74 years";"05-09 Mining and quarrying";"Full-time";77;0
"K-4616 Tysnes";"15-74 years";"41-43 Construction";"Part-time";13;13
"K-4616 Tysnes";"15-74 years";"41-43 Construction";"Full-time";100;86
"K-4616 Tysnes";"20-66 years";"00-99 All industries";"Part-time";382;342
"K-4616 Tysnes";"20-66 years";"00-99 All industries";"Full-time";782;628
"K-4616 Tysnes";"20-66 years";"05-09 Mining and quarrying";"Part-time";4;0
"K-4616 Tysnes";"20-66 years";"05-09 Mining and quarrying";"Full-time";77;0
"K-4616 Tysnes";"20-66 years";"41-43 Construction";"Part-time";12;12
"K-4616 Tysnes";"20-66 years";"41-43 Construction";"Full-time";96;82
"K-4617 Kvinnherad";"15-74 years";"00-99 All industries";"Part-time";2073;1985
"K-4617 Kvinnherad";"15-74 years";"00-99 All industries";"Full-time";3964;3375
"K-4617 Kvinnherad";"15-74 years";"05-09 Mining and quarrying";"Part-time";14;0
"K-4617 Kvinnherad";"15-74 years";"05-09 Mining and quarrying";"Full-time";215;7
"K-4617 Kvinnherad";"15-74 years";"41-43 Construction";"Part-time";57;62
"K-4617 Kvinnherad";"15-74 years";"41-43 Construction";"Full-time";487;446
"K-4617 Kvinnherad";"20-66 years";"00-99 All industries";"Part-time";1707;1627
"K-4617 Kvinnherad";"20-66 years";"00-99 All industries";"Full-time";3778;3211
"K-4617 Kvinnherad";"20-66 years";"05-09 Mining and quarrying";"Part-time";12;0
"K-4617 Kvinnherad";"20-66 years";"05-09 Mining and quarrying";"Full-time";211;7
"K-4617 Kvinnherad";"20-66 years";"41-43 Construction";"Part-time";47;53
"K-4617 Kvinnherad";"20-66 years";"41-43 Construction";"Full-time";444;412
"K-4618 Ullensvang";"15-74 years";"00-99 All industries";"Part-time";1699;1651
"K-4618 Ullensvang";"15-74 years";"00-99 All industries";"Full-time";3538;3237
"K-4618 Ullensvang";"15-74 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-4618 Ullensvang";"15-74 years";"05-09 Mining and quarrying";"Full-time";157;6
"K-4618 Ullensvang";"15-74 years";"41-43 Construction";"Part-time";75;77
"K-4618 Ullensvang";"15-74 years";"41-43 Construction";"Full-time";494;408
"K-4618 Ullensvang";"20-66 years";"00-99 All industries";"Part-time";1411;1382
"K-4618 Ullensvang";"20-66 years";"00-99 All industries";"Full-time";3369;3083
"K-4618 Ullensvang";"20-66 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-4618 Ullensvang";"20-66 years";"05-09 Mining and quarrying";"Full-time";153;3
"K-4618 Ullensvang";"20-66 years";"41-43 Construction";"Part-time";57;64
"K-4618 Ullensvang";"20-66 years";"41-43 Construction";"Full-time";447;374
"K-4619 Eidfjord";"15-74 years";"00-99 All industries";"Part-time";160;155
"K-4619 Eidfjord";"15-74 years";"00-99 All industries";"Full-time";296;211
"K-4619 Eidfjord";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-4619 Eidfjord";"15-74 years";"05-09 Mining and quarrying";"Full-time";23;0
"K-4619 Eidfjord";"15-74 years";"41-43 Construction";"Part-time";8;7
"K-4619 Eidfjord";"15-74 years";"41-43 Construction";"Full-time";58;34
"K-4619 Eidfjord";"20-66 years";"00-99 All industries";"Part-time";138;131
"K-4619 Eidfjord";"20-66 years";"00-99 All industries";"Full-time";287;201
"K-4619 Eidfjord";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-4619 Eidfjord";"20-66 years";"05-09 Mining and quarrying";"Full-time";23;0
"K-4619 Eidfjord";"20-66 years";"41-43 Construction";"Part-time";8;7
"K-4619 Eidfjord";"20-66 years";"41-43 Construction";"Full-time";54;31
"K-4620 Ulvik";"15-74 years";"00-99 All industries";"Part-time";199;146
"K-4620 Ulvik";"15-74 years";"00-99 All industries";"Full-time";268;184
"K-4620 Ulvik";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-4620 Ulvik";"15-74 years";"05-09 Mining and quarrying";"Full-time";12;0
"K-4620 Ulvik";"15-74 years";"41-43 Construction";"Part-time";5;3
"K-4620 Ulvik";"15-74 years";"41-43 Construction";"Full-time";40;21
"K-4620 Ulvik";"20-66 years";"00-99 All industries";"Part-time";160;126
"K-4620 Ulvik";"20-66 years";"00-99 All industries";"Full-time";257;179
"K-4620 Ulvik";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-4620 Ulvik";"20-66 years";"05-09 Mining and quarrying";"Full-time";12;0
"K-4620 Ulvik";"20-66 years";"41-43 Construction";"Part-time";4;0
"K-4620 Ulvik";"20-66 years";"41-43 Construction";"Full-time";39;21
"K-4621 Voss";"15-74 years";"00-99 All industries";"Part-time";2628;2589
"K-4621 Voss";"15-74 years";"00-99 All industries";"Full-time";4961;4515
"K-4621 Voss";"15-74 years";"05-09 Mining and quarrying";"Part-time";10;0
"K-4621 Voss";"15-74 years";"05-09 Mining and quarrying";"Full-time";229;17
"K-4621 Voss";"15-74 years";"41-43 Construction";"Part-time";123;120
"K-4621 Voss";"15-74 years";"41-43 Construction";"Full-time";916;835
"K-4621 Voss";"20-66 years";"00-99 All industries";"Part-time";2142;2065
"K-4621 Voss";"20-66 years";"00-99 All industries";"Full-time";4754;4309
"K-4621 Voss";"20-66 years";"05-09 Mining and quarrying";"Part-time";6;0
"K-4621 Voss";"20-66 years";"05-09 Mining and quarrying";"Full-time";227;17
"K-4621 Voss";"20-66 years";"41-43 Construction";"Part-time";91;84
"K-4621 Voss";"20-66 years";"41-43 Construction";"Full-time";858;775
"K-4622 Kvam";"15-74 years";"00-99 All industries";"Part-time";1501;1435
"K-4622 Kvam";"15-74 years";"00-99 All industries";"Full-time";2438;1954
"K-4622 Kvam";"15-74 years";"05-09 Mining and quarrying";"Part-time";7;0
"K-4622 Kvam";"15-74 years";"05-09 Mining and quarrying";"Full-time";183;12
"K-4622 Kvam";"15-74 years";"41-43 Construction";"Part-time";53;41
"K-4622 Kvam";"15-74 years";"41-43 Construction";"Full-time";346;268
"K-4622 Kvam";"20-66 years";"00-99 All industries";"Part-time";1202;1124
"K-4622 Kvam";"20-66 years";"00-99 All industries";"Full-time";2328;1855
"K-4622 Kvam";"20-66 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-4622 Kvam";"20-66 years";"05-09 Mining and quarrying";"Full-time";180;12
"K-4622 Kvam";"20-66 years";"41-43 Construction";"Part-time";40;28
"K-4622 Kvam";"20-66 years";"41-43 Construction";"Full-time";326;252
"K-4623 Samnanger";"15-74 years";"00-99 All industries";"Part-time";406;289
"K-4623 Samnanger";"15-74 years";"00-99 All industries";"Full-time";761;239
"K-4623 Samnanger";"15-74 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-4623 Samnanger";"15-74 years";"05-09 Mining and quarrying";"Full-time";57;0
"K-4623 Samnanger";"15-74 years";"41-43 Construction";"Part-time";16;9
"K-4623 Samnanger";"15-74 years";"41-43 Construction";"Full-time";143;32
"K-4623 Samnanger";"20-66 years";"00-99 All industries";"Part-time";357;247
"K-4623 Samnanger";"20-66 years";"00-99 All industries";"Full-time";728;227
"K-4623 Samnanger";"20-66 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-4623 Samnanger";"20-66 years";"05-09 Mining and quarrying";"Full-time";56;0
"K-4623 Samnanger";"20-66 years";"41-43 Construction";"Part-time";16;9
"K-4623 Samnanger";"20-66 years";"41-43 Construction";"Full-time";137;31
"K-4624 Bj?rnafjorden";"15-74 years";"00-99 All industries";"Part-time";3639;2867
"K-4624 Bj?rnafjorden";"15-74 years";"00-99 All industries";"Full-time";8305;4871
"K-4624 Bj?rnafjorden";"15-74 years";"05-09 Mining and quarrying";"Part-time";20;0
"K-4624 Bj?rnafjorden";"15-74 years";"05-09 Mining and quarrying";"Full-time";555;5
"K-4624 Bj?rnafjorden";"15-74 years";"41-43 Construction";"Part-time";150;101
"K-4624 Bj?rnafjorden";"15-74 years";"41-43 Construction";"Full-time";1114;698
"K-4624 Bj?rnafjorden";"20-66 years";"00-99 All industries";"Part-time";3048;2386
"K-4624 Bj?rnafjorden";"20-66 years";"00-99 All industries";"Full-time";7994;4633
"K-4624 Bj?rnafjorden";"20-66 years";"05-09 Mining and quarrying";"Part-time";17;0
"K-4624 Bj?rnafjorden";"20-66 years";"05-09 Mining and quarrying";"Full-time";547;5
"K-4624 Bj?rnafjorden";"20-66 years";"41-43 Construction";"Part-time";120;77
"K-4624 Bj?rnafjorden";"20-66 years";"41-43 Construction";"Full-time";1052;651
"K-4625 Austevoll";"15-74 years";"00-99 All industries";"Part-time";801;802
"K-4625 Austevoll";"15-74 years";"00-99 All industries";"Full-time";1637;1807
"K-4625 Austevoll";"15-74 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-4625 Austevoll";"15-74 years";"05-09 Mining and quarrying";"Full-time";65;3
"K-4625 Austevoll";"15-74 years";"41-43 Construction";"Part-time";22;20
"K-4625 Austevoll";"15-74 years";"41-43 Construction";"Full-time";135;134
"K-4625 Austevoll";"20-66 years";"00-99 All industries";"Part-time";669;662
"K-4625 Austevoll";"20-66 years";"00-99 All industries";"Full-time";1552;1710
"K-4625 Austevoll";"20-66 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-4625 Austevoll";"20-66 years";"05-09 Mining and quarrying";"Full-time";65;3
"K-4625 Austevoll";"20-66 years";"41-43 Construction";"Part-time";14;12
"K-4625 Austevoll";"20-66 years";"41-43 Construction";"Full-time";123;120
"K-4626 ?ygarden";"15-74 years";"00-99 All industries";"Part-time";4797;3946
"K-4626 ?ygarden";"15-74 years";"00-99 All industries";"Full-time";13270;9798
"K-4626 ?ygarden";"15-74 years";"05-09 Mining and quarrying";"Part-time";42;14
"K-4626 ?ygarden";"15-74 years";"05-09 Mining and quarrying";"Full-time";1291;325
"K-4626 ?ygarden";"15-74 years";"41-43 Construction";"Part-time";190;160
"K-4626 ?ygarden";"15-74 years";"41-43 Construction";"Full-time";1740;1241
"K-4626 ?ygarden";"20-66 years";"00-99 All industries";"Part-time";4075;3347
"K-4626 ?ygarden";"20-66 years";"00-99 All industries";"Full-time";12815;9444
"K-4626 ?ygarden";"20-66 years";"05-09 Mining and quarrying";"Part-time";39;11
"K-4626 ?ygarden";"20-66 years";"05-09 Mining and quarrying";"Full-time";1269;317
"K-4626 ?ygarden";"20-66 years";"41-43 Construction";"Part-time";154;129
"K-4626 ?ygarden";"20-66 years";"41-43 Construction";"Full-time";1627;1149
"K-4627 Ask?y";"15-74 years";"00-99 All industries";"Part-time";3651;2566
"K-4627 Ask?y";"15-74 years";"00-99 All industries";"Full-time";10492;5440
"K-4627 Ask?y";"15-74 years";"05-09 Mining and quarrying";"Part-time";27;0
"K-4627 Ask?y";"15-74 years";"05-09 Mining and quarrying";"Full-time";508;8
"K-4627 Ask?y";"15-74 years";"41-43 Construction";"Part-time";131;74
"K-4627 Ask?y";"15-74 years";"41-43 Construction";"Full-time";1421;738
"K-4627 Ask?y";"20-66 years";"00-99 All industries";"Part-time";3151;2230
"K-4627 Ask?y";"20-66 years";"00-99 All industries";"Full-time";10132;5256
"K-4627 Ask?y";"20-66 years";"05-09 Mining and quarrying";"Part-time";23;3
"K-4627 Ask?y";"20-66 years";"05-09 Mining and quarrying";"Full-time";504;7
"K-4627 Ask?y";"20-66 years";"41-43 Construction";"Part-time";105;54
"K-4627 Ask?y";"20-66 years";"41-43 Construction";"Full-time";1315;709
"K-4628 Vaksdal";"15-74 years";"00-99 All industries";"Part-time";582;443
"K-4628 Vaksdal";"15-74 years";"00-99 All industries";"Full-time";1158;664
"K-4628 Vaksdal";"15-74 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-4628 Vaksdal";"15-74 years";"05-09 Mining and quarrying";"Full-time";75;0
"K-4628 Vaksdal";"15-74 years";"41-43 Construction";"Part-time";13;12
"K-4628 Vaksdal";"15-74 years";"41-43 Construction";"Full-time";132;77
"K-4628 Vaksdal";"20-66 years";"00-99 All industries";"Part-time";496;387
"K-4628 Vaksdal";"20-66 years";"00-99 All industries";"Full-time";1120;642
"K-4628 Vaksdal";"20-66 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-4628 Vaksdal";"20-66 years";"05-09 Mining and quarrying";"Full-time";75;0
"K-4628 Vaksdal";"20-66 years";"41-43 Construction";"Part-time";10;11
"K-4628 Vaksdal";"20-66 years";"41-43 Construction";"Full-time";123;70
"K-4629 Modalen";"15-74 years";"00-99 All industries";"Part-time";71;81
"K-4629 Modalen";"15-74 years";"00-99 All industries";"Full-time";108;112
"K-4629 Modalen";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-4629 Modalen";"15-74 years";"05-09 Mining and quarrying";"Full-time";7;3
"K-4629 Modalen";"15-74 years";"41-43 Construction";"Part-time";3;0
"K-4629 Modalen";"15-74 years";"41-43 Construction";"Full-time";14;29
"K-4629 Modalen";"20-66 years";"00-99 All industries";"Part-time";59;68
"K-4629 Modalen";"20-66 years";"00-99 All industries";"Full-time";100;109
"K-4629 Modalen";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-4629 Modalen";"20-66 years";"05-09 Mining and quarrying";"Full-time";6;3
"K-4629 Modalen";"20-66 years";"41-43 Construction";"Part-time";3;0
"K-4629 Modalen";"20-66 years";"41-43 Construction";"Full-time";12;27
"K-4630 Oster?y";"15-74 years";"00-99 All industries";"Part-time";1104;824
"K-4630 Oster?y";"15-74 years";"00-99 All industries";"Full-time";2780;1857
"K-4630 Oster?y";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-4630 Oster?y";"15-74 years";"05-09 Mining and quarrying";"Full-time";99;0
"K-4630 Oster?y";"15-74 years";"41-43 Construction";"Part-time";63;47
"K-4630 Oster?y";"15-74 years";"41-43 Construction";"Full-time";534;384
"K-4630 Oster?y";"20-66 years";"00-99 All industries";"Part-time";916;686
"K-4630 Oster?y";"20-66 years";"00-99 All industries";"Full-time";2652;1782
"K-4630 Oster?y";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-4630 Oster?y";"20-66 years";"05-09 Mining and quarrying";"Full-time";96;3
"K-4630 Oster?y";"20-66 years";"41-43 Construction";"Part-time";42;31
"K-4630 Oster?y";"20-66 years";"41-43 Construction";"Full-time";497;368
"K-4631 Alver";"15-74 years";"00-99 All industries";"Part-time";3917;3263
"K-4631 Alver";"15-74 years";"00-99 All industries";"Full-time";9830;6969
"K-4631 Alver";"15-74 years";"05-09 Mining and quarrying";"Part-time";37;15
"K-4631 Alver";"15-74 years";"05-09 Mining and quarrying";"Full-time";796;286
"K-4631 Alver";"15-74 years";"41-43 Construction";"Part-time";131;83
"K-4631 Alver";"15-74 years";"41-43 Construction";"Full-time";1210;596
"K-4631 Alver";"20-66 years";"00-99 All industries";"Part-time";3293;2731
"K-4631 Alver";"20-66 years";"00-99 All industries";"Full-time";9428;6654
"K-4631 Alver";"20-66 years";"05-09 Mining and quarrying";"Part-time";29;10
"K-4631 Alver";"20-66 years";"05-09 Mining and quarrying";"Full-time";786;278
"K-4631 Alver";"20-66 years";"41-43 Construction";"Part-time";91;60
"K-4631 Alver";"20-66 years";"41-43 Construction";"Full-time";1126;555
"K-4632 Austrheim";"15-74 years";"00-99 All industries";"Part-time";350;328
"K-4632 Austrheim";"15-74 years";"00-99 All industries";"Full-time";950;718
"K-4632 Austrheim";"15-74 years";"05-09 Mining and quarrying";"Part-time";5;3
"K-4632 Austrheim";"15-74 years";"05-09 Mining and quarrying";"Full-time";135;0
"K-4632 Austrheim";"15-74 years";"41-43 Construction";"Part-time";18;22
"K-4632 Austrheim";"15-74 years";"41-43 Construction";"Full-time";115;250
"K-4632 Austrheim";"20-66 years";"00-99 All industries";"Part-time";291;273
"K-4632 Austrheim";"20-66 years";"00-99 All industries";"Full-time";907;678
"K-4632 Austrheim";"20-66 years";"05-09 Mining and quarrying";"Part-time";3;3
"K-4632 Austrheim";"20-66 years";"05-09 Mining and quarrying";"Full-time";134;0
"K-4632 Austrheim";"20-66 years";"41-43 Construction";"Part-time";15;19
"K-4632 Austrheim";"20-66 years";"41-43 Construction";"Full-time";108;236
"K-4633 Fedje";"15-74 years";"00-99 All industries";"Part-time";96;83
"K-4633 Fedje";"15-74 years";"00-99 All industries";"Full-time";136;116
"K-4633 Fedje";"15-74 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-4633 Fedje";"15-74 years";"05-09 Mining and quarrying";"Full-time";18;0
"K-4633 Fedje";"15-74 years";"41-43 Construction";"Part-time";5;4
"K-4633 Fedje";"15-74 years";"41-43 Construction";"Full-time";10;11
"K-4633 Fedje";"20-66 years";"00-99 All industries";"Part-time";76;70
"K-4633 Fedje";"20-66 years";"00-99 All industries";"Full-time";134;113
"K-4633 Fedje";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-4633 Fedje";"20-66 years";"05-09 Mining and quarrying";"Full-time";18;0
"K-4633 Fedje";"20-66 years";"41-43 Construction";"Part-time";3;3
"K-4633 Fedje";"20-66 years";"41-43 Construction";"Full-time";10;10
"K-4634 Masfjorden";"15-74 years";"00-99 All industries";"Part-time";258;210
"K-4634 Masfjorden";"15-74 years";"00-99 All industries";"Full-time";518;321
"K-4634 Masfjorden";"15-74 years";"05-09 Mining and quarrying";"Part-time";4;0
"K-4634 Masfjorden";"15-74 years";"05-09 Mining and quarrying";"Full-time";51;3
"K-4634 Masfjorden";"15-74 years";"41-43 Construction";"Part-time";12;7
"K-4634 Masfjorden";"15-74 years";"41-43 Construction";"Full-time";64;39
"K-4634 Masfjorden";"20-66 years";"00-99 All industries";"Part-time";215;174
"K-4634 Masfjorden";"20-66 years";"00-99 All industries";"Full-time";492;308
"K-4634 Masfjorden";"20-66 years";"05-09 Mining and quarrying";"Part-time";4;0
"K-4634 Masfjorden";"20-66 years";"05-09 Mining and quarrying";"Full-time";51;0
"K-4634 Masfjorden";"20-66 years";"41-43 Construction";"Part-time";8;3
"K-4634 Masfjorden";"20-66 years";"41-43 Construction";"Full-time";57;37
"K-4635 Gulen";"15-74 years";"00-99 All industries";"Part-time";378;358
"K-4635 Gulen";"15-74 years";"00-99 All industries";"Full-time";711;780
"K-4635 Gulen";"15-74 years";"05-09 Mining and quarrying";"Part-time";3;5
"K-4635 Gulen";"15-74 years";"05-09 Mining and quarrying";"Full-time";69;47
"K-4635 Gulen";"15-74 years";"41-43 Construction";"Part-time";9;10
"K-4635 Gulen";"15-74 years";"41-43 Construction";"Full-time";83;88
"K-4635 Gulen";"20-66 years";"00-99 All industries";"Part-time";312;298
"K-4635 Gulen";"20-66 years";"00-99 All industries";"Full-time";678;746
"K-4635 Gulen";"20-66 years";"05-09 Mining and quarrying";"Part-time";3;5
"K-4635 Gulen";"20-66 years";"05-09 Mining and quarrying";"Full-time";67;45
"K-4635 Gulen";"20-66 years";"41-43 Construction";"Part-time";5;8
"K-4635 Gulen";"20-66 years";"41-43 Construction";"Full-time";79;83
"K-4636 Solund";"15-74 years";"00-99 All industries";"Part-time";121;97
"K-4636 Solund";"15-74 years";"00-99 All industries";"Full-time";241;202
"K-4636 Solund";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-4636 Solund";"15-74 years";"05-09 Mining and quarrying";"Full-time";8;0
"K-4636 Solund";"15-74 years";"41-43 Construction";"Part-time";4;4
"K-4636 Solund";"15-74 years";"41-43 Construction";"Full-time";4;3
"K-4636 Solund";"20-66 years";"00-99 All industries";"Part-time";100;80
"K-4636 Solund";"20-66 years";"00-99 All industries";"Full-time";236;199
"K-4636 Solund";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-4636 Solund";"20-66 years";"05-09 Mining and quarrying";"Full-time";8;0
"K-4636 Solund";"20-66 years";"41-43 Construction";"Part-time";3;4
"K-4636 Solund";"20-66 years";"41-43 Construction";"Full-time";4;3
"K-4637 Hyllestad";"15-74 years";"00-99 All industries";"Part-time";201;176
"K-4637 Hyllestad";"15-74 years";"00-99 All industries";"Full-time";431;441
"K-4637 Hyllestad";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;3
"K-4637 Hyllestad";"15-74 years";"05-09 Mining and quarrying";"Full-time";17;5
"K-4637 Hyllestad";"15-74 years";"41-43 Construction";"Part-time";15;13
"K-4637 Hyllestad";"15-74 years";"41-43 Construction";"Full-time";55;36
"K-4637 Hyllestad";"20-66 years";"00-99 All industries";"Part-time";157;140
"K-4637 Hyllestad";"20-66 years";"00-99 All industries";"Full-time";404;418
"K-4637 Hyllestad";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-4637 Hyllestad";"20-66 years";"05-09 Mining and quarrying";"Full-time";17;5
"K-4637 Hyllestad";"20-66 years";"41-43 Construction";"Part-time";11;10
"K-4637 Hyllestad";"20-66 years";"41-43 Construction";"Full-time";47;30
"K-4638 H?yanger";"15-74 years";"00-99 All industries";"Part-time";528;478
"K-4638 H?yanger";"15-74 years";"00-99 All industries";"Full-time";1293;1122
"K-4638 H?yanger";"15-74 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-4638 H?yanger";"15-74 years";"05-09 Mining and quarrying";"Full-time";59;0
"K-4638 H?yanger";"15-74 years";"41-43 Construction";"Part-time";20;23
"K-4638 H?yanger";"15-74 years";"41-43 Construction";"Full-time";137;168
"K-4638 H?yanger";"20-66 years";"00-99 All industries";"Part-time";458;413
"K-4638 H?yanger";"20-66 years";"00-99 All industries";"Full-time";1240;1073
"K-4638 H?yanger";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-4638 H?yanger";"20-66 years";"05-09 Mining and quarrying";"Full-time";58;0
"K-4638 H?yanger";"20-66 years";"41-43 Construction";"Part-time";19;22
"K-4638 H?yanger";"20-66 years";"41-43 Construction";"Full-time";127;156
"K-4639 Vik";"15-74 years";"00-99 All industries";"Part-time";432;374
"K-4639 Vik";"15-74 years";"00-99 All industries";"Full-time";804;733
"K-4639 Vik";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-4639 Vik";"15-74 years";"05-09 Mining and quarrying";"Full-time";19;0
"K-4639 Vik";"15-74 years";"41-43 Construction";"Part-time";28;20
"K-4639 Vik";"15-74 years";"41-43 Construction";"Full-time";124;95
"K-4639 Vik";"20-66 years";"00-99 All industries";"Part-time";348;306
"K-4639 Vik";"20-66 years";"00-99 All industries";"Full-time";758;701
"K-4639 Vik";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-4639 Vik";"20-66 years";"05-09 Mining and quarrying";"Full-time";18;0
"K-4639 Vik";"20-66 years";"41-43 Construction";"Part-time";25;17
"K-4639 Vik";"20-66 years";"41-43 Construction";"Full-time";112;87
"K-4640 Sogndal";"15-74 years";"00-99 All industries";"Part-time";1927;2154
"K-4640 Sogndal";"15-74 years";"00-99 All industries";"Full-time";4101;4705
"K-4640 Sogndal";"15-74 years";"05-09 Mining and quarrying";"Part-time";7;3
"K-4640 Sogndal";"15-74 years";"05-09 Mining and quarrying";"Full-time";33;11
"K-4640 Sogndal";"15-74 years";"41-43 Construction";"Part-time";78;107
"K-4640 Sogndal";"15-74 years";"41-43 Construction";"Full-time";532;802
"K-4640 Sogndal";"20-66 years";"00-99 All industries";"Part-time";1603;1788
"K-4640 Sogndal";"20-66 years";"00-99 All industries";"Full-time";3948;4527
"K-4640 Sogndal";"20-66 years";"05-09 Mining and quarrying";"Part-time";10;3
"K-4640 Sogndal";"20-66 years";"05-09 Mining and quarrying";"Full-time";33;10
"K-4640 Sogndal";"20-66 years";"41-43 Construction";"Part-time";63;88
"K-4640 Sogndal";"20-66 years";"41-43 Construction";"Full-time";499;748
"K-4641 Aurland";"15-74 years";"00-99 All industries";"Part-time";265;268
