"region";"country background";"Unemployed persons in per cent of persons in total 2020K4"
"1149 Karm?y";"Immigrants";4.7
"1151 Utsira";"Total";:
"1151 Utsira";"Immigrants";:
"1160 Vindafjord";"Total";1.7
"1160 Vindafjord";"Immigrants";4.3
"4601 Bergen";"Total";3.3
"4601 Bergen";"Immigrants";7.5
"4602 Kinn";"Total";1.5
"4602 Kinn";"Immigrants";3.8
"4611 Etne";"Total";1.9
"4611 Etne";"Immigrants";6.1
"4612 Sveio";"Total";1.5
"4612 Sveio";"Immigrants";2.6
"4613 B?mlo";"Total";2.0
"4613 B?mlo";"Immigrants";5.8
"4614 Stord";"Total";2.1
"4614 Stord";"Immigrants";5.2
"4615 Fitjar";"Total";1.7
"4615 Fitjar";"Immigrants";5.2
"4616 Tysnes";"Total";1.5
"4616 Tysnes";"Immigrants";4.2
"4617 Kvinnherad";"Total";1.3
"4617 Kvinnherad";"Immigrants";4.4
"4618 Ullensvang";"Total";1.8
"4618 Ullensvang";"Immigrants";5.0
"4619 Eidfjord";"Total";3.0
"4619 Eidfjord";"Immigrants";:
"4620 Ulvik";"Total";3.2
"4620 Ulvik";"Immigrants";13.4
"4621 Voss";"Total";2.3
"4621 Voss";"Immigrants";7.8
"4622 Kvam";"Total";1.7
"4622 Kvam";"Immigrants";7.0
"4623 Samnanger";"Total";1.6
"4623 Samnanger";"Immigrants";4.1
"4624 Bj?rnafjorden";"Total";2.6
"4624 Bj?rnafjorden";"Immigrants";7.7
"4625 Austevoll";"Total";1.6
"4625 Austevoll";"Immigrants";4.8
"4626 ?ygarden";"Total";3.2
"4626 ?ygarden";"Immigrants";7.8
"4627 Ask?y";"Total";3.0
"4627 Ask?y";"Immigrants";7.1
"4628 Vaksdal";"Total";2.1
"4628 Vaksdal";"Immigrants";6.5
"4629 Modalen";"Total";:
"4629 Modalen";"Immigrants";:
"4630 Oster?y";"Total";1.8
"4630 Oster?y";"Immigrants";4.3
"4631 Alver";"Total";1.9
"4631 Alver";"Immigrants";5.5
"4632 Austrheim";"Total";3.2
"4632 Austrheim";"Immigrants";8.4
"4633 Fedje";"Total";:
"4633 Fedje";"Immigrants";:
"4634 Masfjorden";"Total";:
"4634 Masfjorden";"Immigrants";:
"4635 Gulen";"Total";1.3
"4635 Gulen";"Immigrants";2.3
"4636 Solund";"Total";:
"4636 Solund";"Immigrants";:
"4637 Hyllestad";"Total";2.0
"4637 Hyllestad";"Immigrants";4.7
"4638 H?yanger";"Total";1.5
"4638 H?yanger";"Immigrants";4.7
"4639 Vik";"Total";1.4
"4639 Vik";"Immigrants";5.1
"4640 Sogndal";"Total";1.7
"4640 Sogndal";"Immigrants";5.6
"4641 Aurland";"Total";5.1
"4641 Aurland";"Immigrants";14.7
"4642 L?rdal";"Total";1.4
"4642 L?rdal";"Immigrants";5.2
"4643 ?rdal";"Total";0.8
"4643 ?rdal";"Immigrants";3.1
"4644 Luster";"Total";1.1
"4644 Luster";"Immigrants";4.0
"4645 Askvoll";"Total";0.9
"4645 Askvoll";"Immigrants";2.1
"4646 Fjaler";"Total";0.4
"4646 Fjaler";"Immigrants";0.0
"4647 Sunnfjord";"Total";1.3
"4647 Sunnfjord";"Immigrants";3.9
"4648 Bremanger";"Total";1.4
"4648 Bremanger";"Immigrants";2.6
"4649 Stad";"Total";1.5
"4649 Stad";"Immigrants";2.7
"4650 Gloppen";"Total";0.9
"4650 Gloppen";"Immigrants";3.1
"4651 Stryn";"Total";1.6
"4651 Stryn";"Immigrants";2.6
"1505 Kristiansund";"Total";2.2
"1505 Kristiansund";"Immigrants";5.1
"1506 Molde";"Total";1.9
"1506 Molde";"Immigrants";5.7
"1507 ?lesund";"Total";2.3
"1507 ?lesund";"Immigrants";5.2
