"region";"sex";"age";"Persons 2020"
"K-4624 Bj?rnafjorden";"Males";"50-66 years";2479
"K-4624 Bj?rnafjorden";"Males";"67-79 years";1373
"K-4624 Bj?rnafjorden";"Males";"80-89 years";328
"K-4624 Bj?rnafjorden";"Males";"90 years or older";45
"K-4624 Bj?rnafjorden";"Females";"0-17 years";2958
"K-4624 Bj?rnafjorden";"Females";"18-49 years";5034
"K-4624 Bj?rnafjorden";"Females";"50-66 years";2353
"K-4624 Bj?rnafjorden";"Females";"67-79 years";1349
"K-4624 Bj?rnafjorden";"Females";"80-89 years";448
"K-4624 Bj?rnafjorden";"Females";"90 years or older";127
"K-4625 Austevoll";"Males";"0-17 years";672
"K-4625 Austevoll";"Males";"18-49 years";1097
"K-4625 Austevoll";"Males";"50-66 years";547
"K-4625 Austevoll";"Males";"67-79 years";295
"K-4625 Austevoll";"Males";"80-89 years";73
"K-4625 Austevoll";"Males";"90 years or older";14
"K-4625 Austevoll";"Females";"0-17 years";647
"K-4625 Austevoll";"Females";"18-49 years";999
"K-4625 Austevoll";"Females";"50-66 years";477
"K-4625 Austevoll";"Females";"67-79 years";269
"K-4625 Austevoll";"Females";"80-89 years";111
"K-4625 Austevoll";"Females";"90 years or older";35
"K-4626 ?ygarden";"Males";"0-17 years";4807
"K-4626 ?ygarden";"Males";"18-49 years";8298
"K-4626 ?ygarden";"Males";"50-66 years";4038
"K-4626 ?ygarden";"Males";"67-79 years";1956
"K-4626 ?ygarden";"Males";"80-89 years";396
"K-4626 ?ygarden";"Males";"90 years or older";57
"K-4626 ?ygarden";"Females";"0-17 years";4587
"K-4626 ?ygarden";"Females";"18-49 years";7898
"K-4626 ?ygarden";"Females";"50-66 years";3724
"K-4626 ?ygarden";"Females";"67-79 years";1878
"K-4626 ?ygarden";"Females";"80-89 years";498
"K-4626 ?ygarden";"Females";"90 years or older";179
"K-4627 Ask?y";"Males";"0-17 years";3953
"K-4627 Ask?y";"Males";"18-49 years";6368
"K-4627 Ask?y";"Males";"50-66 years";2851
"K-4627 Ask?y";"Males";"67-79 years";1427
"K-4627 Ask?y";"Males";"80-89 years";336
"K-4627 Ask?y";"Males";"90 years or older";52
"K-4627 Ask?y";"Females";"0-17 years";3714
"K-4627 Ask?y";"Females";"18-49 years";6287
"K-4627 Ask?y";"Females";"50-66 years";2587
"K-4627 Ask?y";"Females";"67-79 years";1460
"K-4627 Ask?y";"Females";"80-89 years";419
"K-4627 Ask?y";"Females";"90 years or older";99
"K-4628 Vaksdal";"Males";"0-17 years";417
"K-4628 Vaksdal";"Males";"18-49 years";760
"K-4628 Vaksdal";"Males";"50-66 years";455
"K-4628 Vaksdal";"Males";"67-79 years";266
"K-4628 Vaksdal";"Males";"80-89 years";86
"K-4628 Vaksdal";"Males";"90 years or older";23
"K-4628 Vaksdal";"Females";"0-17 years";407
"K-4628 Vaksdal";"Females";"18-49 years";722
"K-4628 Vaksdal";"Females";"50-66 years";408
"K-4628 Vaksdal";"Females";"67-79 years";247
"K-4628 Vaksdal";"Females";"80-89 years";130
"K-4628 Vaksdal";"Females";"90 years or older";56
"K-4629 Modalen";"Males";"0-17 years";52
"K-4629 Modalen";"Males";"18-49 years";72
"K-4629 Modalen";"Males";"50-66 years";46
"K-4629 Modalen";"Males";"67-79 years";18
"K-4629 Modalen";"Males";"80-89 years";10
"K-4629 Modalen";"Males";"90 years or older";3
"K-4629 Modalen";"Females";"0-17 years";44
"K-4629 Modalen";"Females";"18-49 years";74
"K-4629 Modalen";"Females";"50-66 years";37
"K-4629 Modalen";"Females";"67-79 years";19
"K-4629 Modalen";"Females";"80-89 years";13
"K-4629 Modalen";"Females";"90 years or older";0
"K-4630 Oster?y";"Males";"0-17 years";936
"K-4630 Oster?y";"Males";"18-49 years";1707
"K-4630 Oster?y";"Males";"50-66 years";854
"K-4630 Oster?y";"Males";"67-79 years";489
"K-4630 Oster?y";"Males";"80-89 years";152
"K-4630 Oster?y";"Males";"90 years or older";31
"K-4630 Oster?y";"Females";"0-17 years";904
"K-4630 Oster?y";"Females";"18-49 years";1543
"K-4630 Oster?y";"Females";"50-66 years";785
"K-4630 Oster?y";"Females";"67-79 years";472
"K-4630 Oster?y";"Females";"80-89 years";157
"K-4630 Oster?y";"Females";"90 years or older";68
"K-4631 Alver";"Males";"0-17 years";3593
"K-4631 Alver";"Males";"18-49 years";6094
"K-4631 Alver";"Males";"50-66 years";3082
"K-4631 Alver";"Males";"67-79 years";1715
"K-4631 Alver";"Males";"80-89 years";399
"K-4631 Alver";"Males";"90 years or older";84
"K-4631 Alver";"Females";"0-17 years";3356
"K-4631 Alver";"Females";"18-49 years";5684
"K-4631 Alver";"Females";"50-66 years";2826
"K-4631 Alver";"Females";"67-79 years";1719
"K-4631 Alver";"Females";"80-89 years";511
"K-4631 Alver";"Females";"90 years or older";161
"K-4632 Austrheim";"Males";"0-17 years";314
"K-4632 Austrheim";"Males";"18-49 years";595
"K-4632 Austrheim";"Males";"50-66 years";319
"K-4632 Austrheim";"Males";"67-79 years";223
"K-4632 Austrheim";"Males";"80-89 years";50
"K-4632 Austrheim";"Males";"90 years or older";6
"K-4632 Austrheim";"Females";"0-17 years";281
"K-4632 Austrheim";"Females";"18-49 years";493
"K-4632 Austrheim";"Females";"50-66 years";283
"K-4632 Austrheim";"Females";"67-79 years";223
"K-4632 Austrheim";"Females";"80-89 years";64
"K-4632 Austrheim";"Females";"90 years or older";19
"K-4633 Fedje";"Males";"0-17 years";53
"K-4633 Fedje";"Males";"18-49 years";76
"K-4633 Fedje";"Males";"50-66 years";77
"K-4633 Fedje";"Males";"67-79 years";43
"K-4633 Fedje";"Males";"80-89 years";15
"K-4633 Fedje";"Males";"90 years or older";5
"K-4633 Fedje";"Females";"0-17 years";60
"K-4633 Fedje";"Females";"18-49 years";87
"K-4633 Fedje";"Females";"50-66 years";63
"K-4633 Fedje";"Females";"67-79 years";38
"K-4633 Fedje";"Females";"80-89 years";21
"K-4633 Fedje";"Females";"90 years or older";10
"K-4634 Masfjorden";"Males";"0-17 years";188
"K-4634 Masfjorden";"Males";"18-49 years";282
"K-4634 Masfjorden";"Males";"50-66 years";219
"K-4634 Masfjorden";"Males";"67-79 years";116
"K-4634 Masfjorden";"Males";"80-89 years";37
"K-4634 Masfjorden";"Males";"90 years or older";13
"K-4634 Masfjorden";"Females";"0-17 years";170
"K-4634 Masfjorden";"Females";"18-49 years";278
"K-4634 Masfjorden";"Females";"50-66 years";185
"K-4634 Masfjorden";"Females";"67-79 years";122
"K-4634 Masfjorden";"Females";"80-89 years";60
"K-4634 Masfjorden";"Females";"90 years or older";21
"K-4635 Gulen";"Males";"0-17 years";242
"K-4635 Gulen";"Males";"18-49 years";394
"K-4635 Gulen";"Males";"50-66 years";299
"K-4635 Gulen";"Males";"67-79 years";170
"K-4635 Gulen";"Males";"80-89 years";49
"K-4635 Gulen";"Males";"90 years or older";9
"K-4635 Gulen";"Females";"0-17 years";219
"K-4635 Gulen";"Females";"18-49 years";433
"K-4635 Gulen";"Females";"50-66 years";241
"K-4635 Gulen";"Females";"67-79 years";157
"K-4635 Gulen";"Females";"80-89 years";61
"K-4635 Gulen";"Females";"90 years or older";23
"K-4636 Solund";"Males";"0-17 years";71
"K-4636 Solund";"Males";"18-49 years";140
"K-4636 Solund";"Males";"50-66 years";108
"K-4636 Solund";"Males";"67-79 years";69
"K-4636 Solund";"Males";"80-89 years";21
"K-4636 Solund";"Males";"90 years or older";3
"K-4636 Solund";"Females";"0-17 years";68
"K-4636 Solund";"Females";"18-49 years";133
"K-4636 Solund";"Females";"50-66 years";92
"K-4636 Solund";"Females";"67-79 years";68
"K-4636 Solund";"Females";"80-89 years";22
"K-4636 Solund";"Females";"90 years or older";7
"K-4637 Hyllestad";"Males";"0-17 years";94
"K-4637 Hyllestad";"Males";"18-49 years";271
"K-4637 Hyllestad";"Males";"50-66 years";176
"K-4637 Hyllestad";"Males";"67-79 years";118
"K-4637 Hyllestad";"Males";"80-89 years";29
"K-4637 Hyllestad";"Males";"90 years or older";6
"K-4637 Hyllestad";"Females";"0-17 years";120
"K-4637 Hyllestad";"Females";"18-49 years";204
"K-4637 Hyllestad";"Females";"50-66 years";139
"K-4637 Hyllestad";"Females";"67-79 years";114
"K-4637 Hyllestad";"Females";"80-89 years";43
"K-4637 Hyllestad";"Females";"90 years or older";14
"K-4638 H?yanger";"Males";"0-17 years";371
"K-4638 H?yanger";"Males";"18-49 years";747
"K-4638 H?yanger";"Males";"50-66 years";577
"K-4638 H?yanger";"Males";"67-79 years";280
"K-4638 H?yanger";"Males";"80-89 years";83
"K-4638 H?yanger";"Males";"90 years or older";27
"K-4638 H?yanger";"Females";"0-17 years";387
"K-4638 H?yanger";"Females";"18-49 years";696
"K-4638 H?yanger";"Females";"50-66 years";467
"K-4638 H?yanger";"Females";"67-79 years";298
"K-4638 H?yanger";"Females";"80-89 years";127
"K-4638 H?yanger";"Females";"90 years or older";41
"K-4639 Vik";"Males";"0-17 years";270
"K-4639 Vik";"Males";"18-49 years";462
"K-4639 Vik";"Males";"50-66 years";302
"K-4639 Vik";"Males";"67-79 years";200
"K-4639 Vik";"Males";"80-89 years";66
"K-4639 Vik";"Males";"90 years or older";19
"K-4639 Vik";"Females";"0-17 years";260
"K-4639 Vik";"Females";"18-49 years";440
"K-4639 Vik";"Females";"50-66 years";284
"K-4639 Vik";"Females";"67-79 years";198
"K-4639 Vik";"Females";"80-89 years";99
"K-4639 Vik";"Females";"90 years or older";35
"K-4640 Sogndal";"Males";"0-17 years";1329
"K-4640 Sogndal";"Males";"18-49 years";2624
"K-4640 Sogndal";"Males";"50-66 years";1185
"K-4640 Sogndal";"Males";"67-79 years";642
"K-4640 Sogndal";"Males";"80-89 years";179
"K-4640 Sogndal";"Males";"90 years or older";33
"K-4640 Sogndal";"Females";"0-17 years";1232
"K-4640 Sogndal";"Females";"18-49 years";2486
"K-4640 Sogndal";"Females";"50-66 years";1155
"K-4640 Sogndal";"Females";"67-79 years";663
"K-4640 Sogndal";"Females";"80-89 years";233
"K-4640 Sogndal";"Females";"90 years or older";86
"K-4641 Aurland";"Males";"0-17 years";150
"K-4641 Aurland";"Males";"18-49 years";393
"K-4641 Aurland";"Males";"50-66 years";205
"K-4641 Aurland";"Males";"67-79 years";111
"K-4641 Aurland";"Males";"80-89 years";32
"K-4641 Aurland";"Males";"90 years or older";13
"K-4641 Aurland";"Females";"0-17 years";152
"K-4641 Aurland";"Females";"18-49 years";336
"K-4641 Aurland";"Females";"50-66 years";205
"K-4641 Aurland";"Females";"67-79 years";117
"K-4641 Aurland";"Females";"80-89 years";48
"K-4641 Aurland";"Females";"90 years or older";19
"K-4642 L?rdal";"Males";"0-17 years";215
"K-4642 L?rdal";"Males";"18-49 years";402
"K-4642 L?rdal";"Males";"50-66 years";270
"K-4642 L?rdal";"Males";"67-79 years";166
"K-4642 L?rdal";"Males";"80-89 years";44
"K-4642 L?rdal";"Males";"90 years or older";7
"K-4642 L?rdal";"Females";"0-17 years";185
"K-4642 L?rdal";"Females";"18-49 years";350
"K-4642 L?rdal";"Females";"50-66 years";257
"K-4642 L?rdal";"Females";"67-79 years";156
"K-4642 L?rdal";"Females";"80-89 years";51
"K-4642 L?rdal";"Females";"90 years or older";23
"K-4643 ?rdal";"Males";"0-17 years";484
"K-4643 ?rdal";"Males";"18-49 years";1020
"K-4643 ?rdal";"Males";"50-66 years";694
"K-4643 ?rdal";"Males";"67-79 years";358
"K-4643 ?rdal";"Males";"80-89 years";109
"K-4643 ?rdal";"Males";"90 years or older";22
"K-4643 ?rdal";"Females";"0-17 years";429
"K-4643 ?rdal";"Females";"18-49 years";869
"K-4643 ?rdal";"Females";"50-66 years";612
"K-4643 ?rdal";"Females";"67-79 years";361
"K-4643 ?rdal";"Females";"80-89 years";188
"K-4643 ?rdal";"Females";"90 years or older";47
"K-4644 Luster";"Males";"0-17 years";589
"K-4644 Luster";"Males";"18-49 years";981
"K-4644 Luster";"Males";"50-66 years";587
"K-4644 Luster";"Males";"67-79 years";326
"K-4644 Luster";"Males";"80-89 years";124
"K-4644 Luster";"Males";"90 years or older";21
"K-4644 Luster";"Females";"0-17 years";550
"K-4644 Luster";"Females";"18-49 years";934
"K-4644 Luster";"Females";"50-66 years";562
"K-4644 Luster";"Females";"67-79 years";328
"K-4644 Luster";"Females";"80-89 years";124
"K-4644 Luster";"Females";"90 years or older";48
"K-4645 Askvoll";"Males";"0-17 years";322
"K-4645 Askvoll";"Males";"18-49 years";496
"K-4645 Askvoll";"Males";"50-66 years";358
"K-4645 Askvoll";"Males";"67-79 years";250
"K-4645 Askvoll";"Males";"80-89 years";91
"K-4645 Askvoll";"Males";"90 years or older";9
"K-4645 Askvoll";"Females";"0-17 years";291
"K-4645 Askvoll";"Females";"18-49 years";476
"K-4645 Askvoll";"Females";"50-66 years";360
"K-4645 Askvoll";"Females";"67-79 years";220
"K-4645 Askvoll";"Females";"80-89 years";107
"K-4645 Askvoll";"Females";"90 years or older";31
"K-4646 Fjaler";"Males";"0-17 years";323
"K-4646 Fjaler";"Males";"18-49 years";509
"K-4646 Fjaler";"Males";"50-66 years";294
"K-4646 Fjaler";"Males";"67-79 years";234
"K-4646 Fjaler";"Males";"80-89 years";56
"K-4646 Fjaler";"Males";"90 years or older";6
"K-4646 Fjaler";"Females";"0-17 years";337
"K-4646 Fjaler";"Females";"18-49 years";510
"K-4646 Fjaler";"Females";"50-66 years";256
"K-4646 Fjaler";"Females";"67-79 years";174
"K-4646 Fjaler";"Females";"80-89 years";84
"K-4646 Fjaler";"Females";"90 years or older";19
"K-4647 Sunnfjord";"Males";"0-17 years";2755
"K-4647 Sunnfjord";"Males";"18-49 years";4720
"K-4647 Sunnfjord";"Males";"50-66 years";2284
"K-4647 Sunnfjord";"Males";"67-79 years";1121
"K-4647 Sunnfjord";"Males";"80-89 years";330
"K-4647 Sunnfjord";"Males";"90 years or older";60
"K-4647 Sunnfjord";"Females";"0-17 years";2470
"K-4647 Sunnfjord";"Females";"18-49 years";4330
"K-4647 Sunnfjord";"Females";"50-66 years";2300
"K-4647 Sunnfjord";"Females";"67-79 years";1101
"K-4647 Sunnfjord";"Females";"80-89 years";409
"K-4647 Sunnfjord";"Females";"90 years or older";150
"K-4648 Bremanger";"Males";"0-17 years";363
"K-4648 Bremanger";"Males";"18-49 years";654
"K-4648 Bremanger";"Males";"50-66 years";447
"K-4648 Bremanger";"Males";"67-79 years";265
"K-4648 Bremanger";"Males";"80-89 years";99
"K-4648 Bremanger";"Males";"90 years or older";23
"K-4648 Bremanger";"Females";"0-17 years";343
"K-4648 Bremanger";"Females";"18-49 years";600
"K-4648 Bremanger";"Females";"50-66 years";371
"K-4648 Bremanger";"Females";"67-79 years";274
"K-4648 Bremanger";"Females";"80-89 years";141
"K-4648 Bremanger";"Females";"90 years or older";49
"K-4649 Stad";"Males";"0-17 years";1008
"K-4649 Stad";"Males";"18-49 years";1790
"K-4649 Stad";"Males";"50-66 years";1139
"K-4649 Stad";"Males";"67-79 years";610
"K-4649 Stad";"Males";"80-89 years";191
"K-4649 Stad";"Males";"90 years or older";33
"K-4649 Stad";"Females";"0-17 years";1006
"K-4649 Stad";"Females";"18-49 years";1708
"K-4649 Stad";"Females";"50-66 years";1029
"K-4649 Stad";"Females";"67-79 years";585
"K-4649 Stad";"Females";"80-89 years";254
"K-4649 Stad";"Females";"90 years or older";104
"K-4650 Gloppen";"Males";"0-17 years";678
"K-4650 Gloppen";"Males";"18-49 years";1120
"K-4650 Gloppen";"Males";"50-66 years";629
"K-4650 Gloppen";"Males";"67-79 years";412
"K-4650 Gloppen";"Males";"80-89 years";110
"K-4650 Gloppen";"Males";"90 years or older";25
"K-4650 Gloppen";"Females";"0-17 years";609
"K-4650 Gloppen";"Females";"18-49 years";1033
"K-4650 Gloppen";"Females";"50-66 years";605
"K-4650 Gloppen";"Females";"67-79 years";409
"K-4650 Gloppen";"Females";"80-89 years";161
"K-4650 Gloppen";"Females";"90 years or older";63
"K-4651 Stryn";"Males";"0-17 years";790
"K-4651 Stryn";"Males";"18-49 years";1465
"K-4651 Stryn";"Males";"50-66 years";814
"K-4651 Stryn";"Males";"67-79 years";457
"K-4651 Stryn";"Males";"80-89 years";128
"K-4651 Stryn";"Males";"90 years or older";27
"K-4651 Stryn";"Females";"0-17 years";785
"K-4651 Stryn";"Females";"18-49 years";1282
"K-4651 Stryn";"Females";"50-66 years";718
"K-4651 Stryn";"Females";"67-79 years";444
"K-4651 Stryn";"Females";"80-89 years";165
"K-4651 Stryn";"Females";"90 years or older";55
"K-1505 Kristiansund";"Males";"0-17 years";2420
"K-1505 Kristiansund";"Males";"18-49 years";5158
"K-1505 Kristiansund";"Males";"50-66 years";2687
"K-1505 Kristiansund";"Males";"67-79 years";1606
"K-1505 Kristiansund";"Males";"80-89 years";361
"K-1505 Kristiansund";"Males";"90 years or older";49
"K-1505 Kristiansund";"Females";"0-17 years";2283
"K-1505 Kristiansund";"Females";"18-49 years";4599
"K-1505 Kristiansund";"Females";"50-66 years";2721
"K-1505 Kristiansund";"Females";"67-79 years";1630
"K-1505 Kristiansund";"Females";"80-89 years";515
"K-1505 Kristiansund";"Females";"90 years or older";150
"K-1506 Molde";"Males";"0-17 years";3313
"K-1506 Molde";"Males";"18-49 years";6582
"K-1506 Molde";"Males";"50-66 years";3535
"K-1506 Molde";"Males";"67-79 years";1958
"K-1506 Molde";"Males";"80-89 years";562
"K-1506 Molde";"Males";"90 years or older";103
"K-1506 Molde";"Females";"0-17 years";3201
"K-1506 Molde";"Females";"18-49 years";6104
"K-1506 Molde";"Females";"50-66 years";3514
"K-1506 Molde";"Females";"67-79 years";2093
"K-1506 Molde";"Females";"80-89 years";754
"K-1506 Molde";"Females";"90 years or older";248
"K-1507 ?lesund";"Males";"0-17 years";7247
"K-1507 ?lesund";"Males";"18-49 years";15060
"K-1507 ?lesund";"Males";"50-66 years";7036
"K-1507 ?lesund";"Males";"67-79 years";3546
"K-1507 ?lesund";"Males";"80-89 years";939
"K-1507 ?lesund";"Males";"90 years or older";193
"K-1507 ?lesund";"Females";"0-17 years";6744
"K-1507 ?lesund";"Females";"18-49 years";13420
"K-1507 ?lesund";"Females";"50-66 years";6583
"K-1507 ?lesund";"Females";"67-79 years";3676
"K-1507 ?lesund";"Females";"80-89 years";1356
"K-1507 ?lesund";"Females";"90 years or older";458
"K-1511 Vanylven";"Males";"0-17 years";255
"K-1511 Vanylven";"Males";"18-49 years";552
"K-1511 Vanylven";"Males";"50-66 years";413
"K-1511 Vanylven";"Males";"67-79 years";291
"K-1511 Vanylven";"Males";"80-89 years";82
"K-1511 Vanylven";"Males";"90 years or older";14
"K-1511 Vanylven";"Females";"0-17 years";242
"K-1511 Vanylven";"Females";"18-49 years";487
"K-1511 Vanylven";"Females";"50-66 years";379
"K-1511 Vanylven";"Females";"67-79 years";264
"K-1511 Vanylven";"Females";"80-89 years";95
"K-1511 Vanylven";"Females";"90 years or older";43
"K-1514 Sande";"Males";"0-17 years";235
"K-1514 Sande";"Males";"18-49 years";501
"K-1514 Sande";"Males";"50-66 years";308
"K-1514 Sande";"Males";"67-79 years";176
"K-1514 Sande";"Males";"80-89 years";59
"K-1514 Sande";"Males";"90 years or older";7
"K-1514 Sande";"Females";"0-17 years";219
"K-1514 Sande";"Females";"18-49 years";410
"K-1514 Sande";"Females";"50-66 years";278
"K-1514 Sande";"Females";"67-79 years";162
"K-1514 Sande";"Females";"80-89 years";74
"K-1514 Sande";"Females";"90 years or older";32
"K-1515 Her?y (M?re og Romsdal)";"Males";"0-17 years";999
"K-1515 Her?y (M?re og Romsdal)";"Males";"18-49 years";1772
"K-1515 Her?y (M?re og Romsdal)";"Males";"50-66 years";1021
"K-1515 Her?y (M?re og Romsdal)";"Males";"67-79 years";586
"K-1515 Her?y (M?re og Romsdal)";"Males";"80-89 years";153
"K-1515 Her?y (M?re og Romsdal)";"Males";"90 years or older";38
"K-1515 Her?y (M?re og Romsdal)";"Females";"0-17 years";892
"K-1515 Her?y (M?re og Romsdal)";"Females";"18-49 years";1661
"K-1515 Her?y (M?re og Romsdal)";"Females";"50-66 years";948
"K-1515 Her?y (M?re og Romsdal)";"Females";"67-79 years";531
"K-1515 Her?y (M?re og Romsdal)";"Females";"80-89 years";232
"K-1515 Her?y (M?re og Romsdal)";"Females";"90 years or older";67
"K-1516 Ulstein";"Males";"0-17 years";1029
"K-1516 Ulstein";"Males";"18-49 years";1911
"K-1516 Ulstein";"Males";"50-66 years";957
"K-1516 Ulstein";"Males";"67-79 years";439
"K-1516 Ulstein";"Males";"80-89 years";121
"K-1516 Ulstein";"Males";"90 years or older";23
"K-1516 Ulstein";"Females";"0-17 years";940
"K-1516 Ulstein";"Females";"18-49 years";1659
"K-1516 Ulstein";"Females";"50-66 years";831
"K-1516 Ulstein";"Females";"67-79 years";468
"K-1516 Ulstein";"Females";"80-89 years";153
"K-1516 Ulstein";"Females";"90 years or older";40
"K-1517 Hareid";"Males";"0-17 years";602
"K-1517 Hareid";"Males";"18-49 years";1086
"K-1517 Hareid";"Males";"50-66 years";565
"K-1517 Hareid";"Males";"67-79 years";297
"K-1517 Hareid";"Males";"80-89 years";76
"K-1517 Hareid";"Males";"90 years or older";16
"K-1517 Hareid";"Females";"0-17 years";566
"K-1517 Hareid";"Females";"18-49 years";1003
"K-1517 Hareid";"Females";"50-66 years";514
"K-1517 Hareid";"Females";"67-79 years";294
"K-1517 Hareid";"Females";"80-89 years";113
"K-1517 Hareid";"Females";"90 years or older";43
"K-1520 ?rsta";"Males";"0-17 years";1220
"K-1520 ?rsta";"Males";"18-49 years";2196
"K-1520 ?rsta";"Males";"50-66 years";1188
"K-1520 ?rsta";"Males";"67-79 years";631
"K-1520 ?rsta";"Males";"80-89 years";195
"K-1520 ?rsta";"Males";"90 years or older";43
"K-1520 ?rsta";"Females";"0-17 years";1186
"K-1520 ?rsta";"Females";"18-49 years";2014
"K-1520 ?rsta";"Females";"50-66 years";1112
"K-1520 ?rsta";"Females";"67-79 years";672
"K-1520 ?rsta";"Females";"80-89 years";271
"K-1520 ?rsta";"Females";"90 years or older";97
"K-1525 Stranda";"Males";"0-17 years";425
"K-1525 Stranda";"Males";"18-49 years";936
"K-1525 Stranda";"Males";"50-66 years";529
"K-1525 Stranda";"Males";"67-79 years";289
"K-1525 Stranda";"Males";"80-89 years";112
"K-1525 Stranda";"Males";"90 years or older";23
"K-1525 Stranda";"Females";"0-17 years";412
"K-1525 Stranda";"Females";"18-49 years";841
"K-1525 Stranda";"Females";"50-66 years";457
"K-1525 Stranda";"Females";"67-79 years";300
"K-1525 Stranda";"Females";"80-89 years";149
"K-1525 Stranda";"Females";"90 years or older";50
"K-1528 Sykkylven";"Males";"0-17 years";784
"K-1528 Sykkylven";"Males";"18-49 years";1539
"K-1528 Sykkylven";"Males";"50-66 years";884
"K-1528 Sykkylven";"Males";"67-79 years";495
"K-1528 Sykkylven";"Males";"80-89 years";114
"K-1528 Sykkylven";"Males";"90 years or older";29
"K-1528 Sykkylven";"Females";"0-17 years";833
"K-1528 Sykkylven";"Females";"18-49 years";1409
"K-1528 Sykkylven";"Females";"50-66 years";827
"K-1528 Sykkylven";"Females";"67-79 years";483
"K-1528 Sykkylven";"Females";"80-89 years";168
"K-1528 Sykkylven";"Females";"90 years or older";60
"K-1531 Sula";"Males";"0-17 years";1174
"K-1531 Sula";"Males";"18-49 years";2072
"K-1531 Sula";"Males";"50-66 years";941
"K-1531 Sula";"Males";"67-79 years";446
"K-1531 Sula";"Males";"80-89 years";137
"K-1531 Sula";"Males";"90 years or older";36
"K-1531 Sula";"Females";"0-17 years";1128
"K-1531 Sula";"Females";"18-49 years";1854
"K-1531 Sula";"Females";"50-66 years";811
"K-1531 Sula";"Females";"67-79 years";465
"K-1531 Sula";"Females";"80-89 years";176
"K-1531 Sula";"Females";"90 years or older";70
"K-1532 Giske";"Males";"0-17 years";1058
"K-1532 Giske";"Males";"18-49 years";1812
"K-1532 Giske";"Males";"50-66 years";848
"K-1532 Giske";"Males";"67-79 years";431
"K-1532 Giske";"Males";"80-89 years";121
"K-1532 Giske";"Males";"90 years or older";16
"K-1532 Giske";"Females";"0-17 years";1091
"K-1532 Giske";"Females";"18-49 years";1651
"K-1532 Giske";"Females";"50-66 years";815
"K-1532 Giske";"Females";"67-79 years";411
"K-1532 Giske";"Females";"80-89 years";150
"K-1532 Giske";"Females";"90 years or older";58
"K-1535 Vestnes";"Males";"0-17 years";661
"K-1535 Vestnes";"Males";"18-49 years";1307
"K-1535 Vestnes";"Males";"50-66 years";826
"K-1535 Vestnes";"Males";"67-79 years";454
"K-1535 Vestnes";"Males";"80-89 years";118
"K-1535 Vestnes";"Males";"90 years or older";23
"K-1535 Vestnes";"Females";"0-17 years";630
"K-1535 Vestnes";"Females";"18-49 years";1130
"K-1535 Vestnes";"Females";"50-66 years";754
"K-1535 Vestnes";"Females";"67-79 years";427
"K-1535 Vestnes";"Females";"80-89 years";158
"K-1535 Vestnes";"Females";"90 years or older";44
"K-1539 Rauma";"Males";"0-17 years";813
"K-1539 Rauma";"Males";"18-49 years";1422
"K-1539 Rauma";"Males";"50-66 years";880
"K-1539 Rauma";"Males";"67-79 years";555
"K-1539 Rauma";"Males";"80-89 years";142
"K-1539 Rauma";"Males";"90 years or older";25
"K-1539 Rauma";"Females";"0-17 years";729
"K-1539 Rauma";"Females";"18-49 years";1303
"K-1539 Rauma";"Females";"50-66 years";791
"K-1539 Rauma";"Females";"67-79 years";529
"K-1539 Rauma";"Females";"80-89 years";197
"K-1539 Rauma";"Females";"90 years or older";82
"K-1547 Aukra";"Males";"0-17 years";393
"K-1547 Aukra";"Males";"18-49 years";709
"K-1547 Aukra";"Males";"50-66 years";335
"K-1547 Aukra";"Males";"67-79 years";223
"K-1547 Aukra";"Males";"80-89 years";71
"K-1547 Aukra";"Males";"90 years or older";10
"K-1547 Aukra";"Females";"0-17 years";399
"K-1547 Aukra";"Females";"18-49 years";681
"K-1547 Aukra";"Females";"50-66 years";342
"K-1547 Aukra";"Females";"67-79 years";232
"K-1547 Aukra";"Females";"80-89 years";90
"K-1547 Aukra";"Females";"90 years or older";24
"K-1554 Aver?y";"Males";"0-17 years";612
"K-1554 Aver?y";"Males";"18-49 years";1130
"K-1554 Aver?y";"Males";"50-66 years";692
"K-1554 Aver?y";"Males";"67-79 years";423
"K-1554 Aver?y";"Males";"80-89 years";95
"K-1554 Aver?y";"Males";"90 years or older";18
"K-1554 Aver?y";"Females";"0-17 years";593
"K-1554 Aver?y";"Females";"18-49 years";1020
"K-1554 Aver?y";"Females";"50-66 years";667
"K-1554 Aver?y";"Females";"67-79 years";380
"K-1554 Aver?y";"Females";"80-89 years";118
"K-1554 Aver?y";"Females";"90 years or older";40
"K-1557 Gjemnes";"Males";"0-17 years";288
"K-1557 Gjemnes";"Males";"18-49 years";489
"K-1557 Gjemnes";"Males";"50-66 years";294
"K-1557 Gjemnes";"Males";"67-79 years";228
"K-1557 Gjemnes";"Males";"80-89 years";49
"K-1557 Gjemnes";"Males";"90 years or older";7
"K-1557 Gjemnes";"Females";"0-17 years";265
"K-1557 Gjemnes";"Females";"18-49 years";476
"K-1557 Gjemnes";"Females";"50-66 years";281
"K-1557 Gjemnes";"Females";"67-79 years";178
"K-1557 Gjemnes";"Females";"80-89 years";56
"K-1557 Gjemnes";"Females";"90 years or older";18
"K-1560 Tingvoll";"Males";"0-17 years";289
"K-1560 Tingvoll";"Males";"18-49 years";556
"K-1560 Tingvoll";"Males";"50-66 years";363
"K-1560 Tingvoll";"Males";"67-79 years";244
"K-1560 Tingvoll";"Males";"80-89 years";76
"K-1560 Tingvoll";"Males";"90 years or older";11
