"region";"sex";"age";"Persons 2020"
"K-3033 Ullensaker";"Females";"67-79 years";1845
"K-3033 Ullensaker";"Females";"80-89 years";556
"K-3033 Ullensaker";"Females";"90 years or older";110
"K-3034 Nes";"Males";"0-17 years";2531
"K-3034 Nes";"Males";"18-49 years";4835
"K-3034 Nes";"Males";"50-66 years";2670
"K-3034 Nes";"Males";"67-79 years";1300
"K-3034 Nes";"Males";"80-89 years";275
"K-3034 Nes";"Males";"90 years or older";42
"K-3034 Nes";"Females";"0-17 years";2448
"K-3034 Nes";"Females";"18-49 years";4643
"K-3034 Nes";"Females";"50-66 years";2596
"K-3034 Nes";"Females";"67-79 years";1246
"K-3034 Nes";"Females";"80-89 years";412
"K-3034 Nes";"Females";"90 years or older";94
"K-3035 Eidsvoll";"Males";"0-17 years";2936
"K-3035 Eidsvoll";"Males";"18-49 years";5483
"K-3035 Eidsvoll";"Males";"50-66 years";2733
"K-3035 Eidsvoll";"Males";"67-79 years";1357
"K-3035 Eidsvoll";"Males";"80-89 years";259
"K-3035 Eidsvoll";"Males";"90 years or older";42
"K-3035 Eidsvoll";"Females";"0-17 years";2739
"K-3035 Eidsvoll";"Females";"18-49 years";5309
"K-3035 Eidsvoll";"Females";"50-66 years";2596
"K-3035 Eidsvoll";"Females";"67-79 years";1465
"K-3035 Eidsvoll";"Females";"80-89 years";417
"K-3035 Eidsvoll";"Females";"90 years or older";100
"K-3036 Nannestad";"Males";"0-17 years";1665
"K-3036 Nannestad";"Males";"18-49 years";3317
"K-3036 Nannestad";"Males";"50-66 years";1515
"K-3036 Nannestad";"Males";"67-79 years";609
"K-3036 Nannestad";"Males";"80-89 years";136
"K-3036 Nannestad";"Males";"90 years or older";18
"K-3036 Nannestad";"Females";"0-17 years";1631
"K-3036 Nannestad";"Females";"18-49 years";3039
"K-3036 Nannestad";"Females";"50-66 years";1344
"K-3036 Nannestad";"Females";"67-79 years";636
"K-3036 Nannestad";"Females";"80-89 years";191
"K-3036 Nannestad";"Females";"90 years or older";38
"K-3037 Hurdal";"Males";"0-17 years";303
"K-3037 Hurdal";"Males";"18-49 years";544
"K-3037 Hurdal";"Males";"50-66 years";345
"K-3037 Hurdal";"Males";"67-79 years";188
