kommune_no,kommune_name,population,date,median_age,unemp_tot,unemp_immg,workers_ft_work,workers_pt_work,construction_ft_work,construction_pt_work,immigrants_total,marketplace,entertainment,sport,clinic,hairdresser,shops,place_of_worship,retail,nursing_home,restaurant,aerodrome,office,platform,kindergarten,schools,bakeries,residential,higher_education,idarea_1,idarea_2,area,pop_dens,urb_dens,sex
4624,Bjørnafjorden,24908,2021-05-13,38,2.6,7.7,4633,2386,651,77,11.04,0,0,7,13,4,25,10,4,0,7,2,0,113,12,27,1,395,0,252,252,751.93634769009,33.12514427120873,0.5253104218374598,0.5074273325839088
4625,Austevoll,5236,2021-05-13,37,1.6,4.8,1710,662,120,12,10.96,0,0,0,3,0,9,7,0,0,1,0,0,0,1,6,0,94,0,253,253,947.1972691797328,5.527887558770461,0.09924015097869048,0.5152788388082505
4626,Øygarden,38316,2021-05-13,38,3.2,7.8,9444,3347,1149,129,10.24,0,1,13,26,12,22,15,15,1,9,0,10,34,44,32,2,619,0,254,254,2326.1647233866447,16.471748373956956,0.2661032530399665,0.5102829105334586
4627,Askøy,29553,2021-05-13,37,3,7.1,5256,2230,709,54,9.11,0,0,2,14,1,16,6,6,0,1,0,0,15,25,20,1,804,0,255,255,218.7755097342143,135.0836756632555,3.6750000078928506,0.5071227963320136
4628,Vaksdal,3977,2021-05-13,43,2.1,6.5,642,387,70,11,9.48,0,0,1,3,0,7,7,1,0,1,0,0,32,4,5,0,14,0,256,256,757.6126095077805,5.249384646044698,0.01847910109243796,0.5046517475484034
4629,Modalen,388,2021-05-13,38.5,NA,NA,109,68,27,0,7.99,0,0,0,1,0,2,1,5,0,0,0,7,0,1,1,1,0,0,257,257,422.29090418540335,0.9187979095795343,0,0.5180412371134021
4630,Osterøy,8098,2021-05-13,39,1.8,4.3,1782,686,368,31,9.3,0,1,1,3,0,8,6,0,0,0,0,0,4,0,10,0,38,0,258,258,312.6392354935965,25.902059244786834,0.1215458448137688,0.5148184736972092
4631,Alver,29224,2021-05-13,39,1.9,5.5,6654,2731,555,60,8.78,0,1,1,17,2,22,20,4,0,1,0,0,27,13,30,0,540,0,259,259,971.7413765339178,30.073845475468403,0.5557034135215212,0.5121475499589379
4632,Austrheim,2870,2021-05-13,43,3.2,8.4,678,273,236,19,12.47,0,0,0,2,0,4,3,3,0,0,0,1,0,0,3,0,5,0,260,260,166.96223166809182,17.189516283570892,0.029946892480088663,0.5250871080139373
4633,Fedje,548,2021-05-13,49,NA,NA,113,70,10,3,10.04,0,0,1,1,0,1,1,1,0,0,0,6,0,1,1,0,425,0,261,261,465.8997635273824,1.1762186695503491,0.9122133842315664,0.4908759124087591
4634,Masfjorden,1691,2021-05-13,46,NA,NA,308,174,37,3,8.16,0,0,0,1,1,5,4,1,0,0,0,10,0,0,3,0,0,0,262,262,641.9487095800297,2.6341668341482793,0,0.5056179775280899
4635,Gulen,2297,2021-05-13,45,1.3,2.3,746,298,83,8,11.19,0,0,0,2,0,7,4,0,0,0,1,15,0,0,4,0,0,0,263,263,981.7880504117705,2.339608838217799,0,0.5063125816282107
4636,Solund,802,2021-05-13,48,NA,NA,199,80,3,4,14.34,0,0,0,2,0,2,5,0,1,0,0,0,0,1,1,0,18,0,264,264,1746.1655358822782,0.45929207942749634,0.010308301034532336,0.513715710723192
4637,Hyllestad,1328,2021-05-13,48,2,4.7,418,140,30,10,12.73,0,0,0,2,0,3,3,2,0,0,0,2,4,1,1,0,40,0,265,265,386.89851423760035,3.432424656933303,0.10338628484738864,0.5225903614457831
4638,Høyanger,4101,2021-05-13,47,1.5,4.7,1073,413,156,22,9.53,0,0,1,3,0,7,8,1,0,2,0,1,4,1,6,0,43,0,266,266,1243.8275767201403,3.297080782542193,0.0345707080344585,0.5084125822970007
